GG	GN	NN
chr9-25600000-25600000-chr9-24650000-24650000	chr16-16400000-16400000-chr16-17300000-17300000	chr11-41650000-41650000-chr11-41900000-41900000
chr18-22450000-22450000-chr18-20700000-20700000	chr12-92650000-92650000-chr12-91250000-91250000	chr18-43100000-43100000-chr18-42200000-42200000
chr15-90550000-90550000-chr15-89500000-89500000	chr2-96700000-96700000-chr2-97700000-97700000	chr7-117300000-117300000-chr7-118050000-118050000
chr6-17650000-17650000-chr6-16900000-16900000	chr16-78000000-78000000-chr16-77500000-77500000	chr6-69300000-69300000-chr6-70450000-70450000
chr15-57750000-57750000-chr15-55500000-55500000	chr5-143600000-143600000-chr5-143000000-143000000	chr6-16600000-16600000-chr6-15550000-15550000
chr9-44700000-44700000-chr9-43800000-43800000	chr19-38400000-38400000-chr19-35950000-35950000	chrY-66450000-66450000-chrY-65700000-65700000
chr5-4100000-4100000-chr5-3350000-3350000	chr15-16850000-16850000-chr15-16250000-16250000	chrY-53550000-53550000-chrY-54850000-54850000
chr10-99000000-99000000-chr10-97850000-97850000	chr6-123650000-123650000-chr6-121750000-121750000	chr15-68400000-68400000-chr15-69450000-69450000
chr3-135850000-135850000-chr3-136450000-136450000	chr6-125550000-125550000-chr6-124700000-124700000	chr3-5000000-5000000-chr3-3950000-3950000
chr4-145000000-145000000-chr4-144100000-144100000	chr1-184250000-184250000-chr1-187300000-187300000	chrX-65350000-65350000-chrX-66400000-66400000
chr15-98650000-98650000-chr15-100000000-100000000	chr13-51850000-51850000-chr13-52550000-52550000	chr18-9050000-9050000-chr18-10850000-10850000
chrX-133600000-133600000-chrX-134550000-134550000	chr2-37950000-37950000-chr2-37100000-37100000	chr5-39400000-39400000-chr5-40000000-40000000
chrX-162700000-162700000-chrX-162000000-162000000	chr4-36700000-36700000-chr4-38300000-38300000	chr14-150000-150000-chr14-1300000-1300000
chr10-59750000-59750000-chr10-60100000-60100000	chr9-23300000-23300000-chr9-22950000-22950000	chr6-56450000-56450000-chr6-56950000-56950000
chr3-28000000-28000000-chr3-29200000-29200000	chr3-6100000-6100000-chr3-8550000-8550000	chr15-70250000-70250000-chr15-70650000-70650000
chr5-67750000-67750000-chr5-66850000-66850000	chr17-88200000-88200000-chr17-84650000-84650000	chr5-80100000-80100000-chr5-78650000-78650000
chr2-27400000-27400000-chr2-26500000-26500000	chr1-16350000-16350000-chr1-17950000-17950000	chr2-131850000-131850000-chr2-133650000-133650000
chr16-11400000-11400000-chr16-12850000-12850000	chr16-93250000-93250000-chr16-94450000-94450000	chr4-134100000-134100000-chr4-134950000-134950000
chr14-117050000-117050000-chr14-117750000-117750000	chr1-68950000-68950000-chr1-67500000-67500000	chr1-30600000-30600000-chr1-31700000-31700000
chr4-34550000-34550000-chr4-32950000-32950000	chr18-65100000-65100000-chr18-67000000-67000000	chrY-84250000-84250000-chrY-83350000-83350000
chr6-120000000-120000000-chr6-118700000-118700000	chr2-62200000-62200000-chr2-61150000-61150000	chr4-10950000-10950000-chr4-9050000-9050000
chr6-30400000-30400000-chr6-29350000-29350000	chr2-138250000-138250000-chr2-140550000-140550000	chr15-14650000-14650000-chr15-14300000-14300000
chr5-114050000-114050000-chr5-113650000-113650000	chr13-104000000-104000000-chr13-102850000-102850000	chr1-50250000-50250000-chr1-48850000-48850000
chr7-45550000-45550000-chr7-44900000-44900000	chr14-38500000-38500000-chr14-39650000-39650000	chr12-115100000-115100000-chr12-113200000-113200000
chr14-10550000-10550000-chr14-12000000-12000000	chr3-97100000-97100000-chr3-97850000-97850000	chr14-94750000-94750000-chr14-95550000-95550000
chr1-58200000-58200000-chr1-59200000-59200000	chr11-84500000-84500000-chr11-83800000-83800000	chr7-39300000-39300000-chr7-39550000-39550000
chr16-16250000-16250000-chr16-17400000-17400000	chr5-121500000-121500000-chr5-119100000-119100000	chr8-74650000-74650000-chr8-74100000-74100000
chr7-59300000-59300000-chr7-60000000-60000000	chrX-53550000-53550000-chrX-53050000-53050000	chr16-80700000-80700000-chr16-82100000-82100000
chr10-95250000-95250000-chr10-94400000-94400000	chr10-42750000-42750000-chr10-41450000-41450000	chr1-147500000-147500000-chr1-146000000-146000000
chr15-35600000-35600000-chr15-35100000-35100000	chr11-35800000-35800000-chr11-37200000-37200000	chr18-34150000-34150000-chr18-32350000-32350000
chr2-142100000-142100000-chr2-141550000-141550000	chr13-35450000-35450000-chr13-36250000-36250000	chr8-53350000-53350000-chr8-53900000-53900000
chr19-54000000-54000000-chr19-55100000-55100000	chr5-50850000-50850000-chr5-52200000-52200000	chr14-37800000-37800000-chr14-37000000-37000000
chr2-25400000-25400000-chr2-26850000-26850000	chr5-125050000-125050000-chr5-126350000-126350000	chr18-82700000-82700000-chr18-83850000-83850000
