GG	GN	NN
chr12-100700000-100700000-chr12-99450000-99450000	chr5-42450000-42450000-chr5-43150000-43150000	chr15-51750000-51750000-chr15-52650000-52650000
chr16-6250000-6250000-chr16-6650000-6650000	chr1-183800000-183800000-chr1-182950000-182950000	chr18-59750000-59750000-chr18-58550000-58550000
chr5-146950000-146950000-chr5-144950000-144950000	chr17-12600000-12600000-chr17-13200000-13200000	chr13-44600000-44600000-chr13-45250000-45250000
chr14-21850000-21850000-chr14-22100000-22100000	chr17-3250000-3250000-chr17-5150000-5150000	chr15-11650000-11650000-chr15-12100000-12100000
chr4-150850000-150850000-chr4-150500000-150500000	chr11-115800000-115800000-chr11-117450000-117450000	chr13-6250000-6250000-chr13-3750000-3750000
chr11-97250000-97250000-chr11-96450000-96450000	chr1-185700000-185700000-chr1-183700000-183700000	chrX-132100000-132100000-chrX-132900000-132900000
chr2-71250000-71250000-chr2-72150000-72150000	chr6-63150000-63150000-chr6-61600000-61600000	chr13-32800000-32800000-chr13-34400000-34400000
chr2-150000000-150000000-chr2-148700000-148700000	chr3-154350000-154350000-chr3-153500000-153500000	chr7-5000000-5000000-chr7-5600000-5600000
chr12-56750000-56750000-chr12-57300000-57300000	chr3-127400000-127400000-chr3-126550000-126550000	chr4-22250000-22250000-chr4-23500000-23500000
chrX-84700000-84700000-chrX-83200000-83200000	chr6-17700000-17700000-chr6-18700000-18700000	chr14-44050000-44050000-chr14-44450000-44450000
chr12-4400000-4400000-chr12-5000000-5000000	chr8-109050000-109050000-chr8-106850000-106850000	chr14-74450000-74450000-chr14-73700000-73700000
chr12-31450000-31450000-chr12-32050000-32050000	chr11-86450000-86450000-chr11-87450000-87450000	chr9-15150000-15150000-chr9-15700000-15700000
chr9-65900000-65900000-chr9-66400000-66400000	chr10-18200000-18200000-chr10-18900000-18900000	chr19-8300000-8300000-chr19-5400000-5400000
chr16-56250000-56250000-chr16-57150000-57150000	chr11-9150000-9150000-chr11-9650000-9650000	chrY-73700000-73700000-chrY-72500000-72500000
chr3-88000000-88000000-chr3-89450000-89450000	chr13-23800000-23800000-chr13-24950000-24950000	chr16-27600000-27600000-chr16-27050000-27050000
chr15-80850000-80850000-chr15-81700000-81700000	chr17-64850000-64850000-chr17-65750000-65750000	chr8-17950000-17950000-chr8-19500000-19500000
chr1-72850000-72850000-chr1-74000000-74000000	chr14-29000000-29000000-chr14-28600000-28600000	chr4-23850000-23850000-chr4-26000000-26000000
chr11-65000000-65000000-chr11-68300000-68300000	chr10-74950000-74950000-chr10-75550000-75550000	chr17-37950000-37950000-chr17-38700000-38700000
chr16-23500000-23500000-chr16-25300000-25300000	chr3-25000000-25000000-chr3-25600000-25600000	chr4-79950000-79950000-chr4-79450000-79450000
chr6-22250000-22250000-chr6-21700000-21700000	chr2-142400000-142400000-chr2-141300000-141300000	chr12-21850000-21850000-chr12-19500000-19500000
chr18-44400000-44400000-chr18-45600000-45600000	chr8-54550000-54550000-chr8-52900000-52900000	chr8-91150000-91150000-chr8-89900000-89900000
chr1-105800000-105800000-chr1-106650000-106650000	chr5-104800000-104800000-chr5-103200000-103200000	chrY-28350000-28350000-chrY-27950000-27950000
chr9-113800000-113800000-chr9-114350000-114350000	chr8-99300000-99300000-chr8-100150000-100150000	chr12-93900000-93900000-chr12-95400000-95400000
chr5-31500000-31500000-chr5-32300000-32300000	chr14-101850000-101850000-chr14-103450000-103450000	chr13-4950000-4950000-chr13-7350000-7350000
chr10-7700000-7700000-chr10-8250000-8250000	chr3-58550000-58550000-chr3-58200000-58200000	chr13-35300000-35300000-chr13-36750000-36750000
chr17-71750000-71750000-chr17-72400000-72400000	chr15-98350000-98350000-chr15-100050000-100050000	chr1-193850000-193850000-chr1-194500000-194500000
chr11-113250000-113250000-chr11-114450000-114450000	chr15-55600000-55600000-chr15-57050000-57050000	chr13-65300000-65300000-chr13-64550000-64550000
chr16-24400000-24400000-chr16-24950000-24950000	chr11-35000000-35000000-chr11-35900000-35900000	chr8-51950000-51950000-chr8-52700000-52700000
chrX-35900000-35900000-chrX-37250000-37250000	chr4-5450000-5450000-chr4-6450000-6450000	chrY-22550000-22550000-chrY-22200000-22200000
chr19-5900000-5900000-chr19-5250000-5250000	chr8-85950000-85950000-chr8-89050000-89050000	chrY-51850000-51850000-chrY-51400000-51400000
chr13-34100000-34100000-chr13-35750000-35750000	chrX-41150000-41150000-chrX-42650000-42650000	chr19-15950000-15950000-chr19-14800000-14800000
chr1-63450000-63450000-chr1-64550000-64550000	chr9-97750000-97750000-chr9-97250000-97250000	chr8-101500000-101500000-chr8-100100000-100100000
chr12-51650000-51650000-chr12-52700000-52700000	chr9-122600000-122600000-chr9-121950000-121950000	chr3-62700000-62700000-chr3-61850000-61850000
chr9-45250000-45250000-chr9-44050000-44050000	chr6-62100000-62100000-chr6-61050000-61050000	chrX-63400000-63400000-chrX-64500000-64500000
chr4-110500000-110500000-chr4-111950000-111950000	chr16-72700000-72700000-chr16-72350000-72350000	chr11-13950000-13950000-chr11-14700000-14700000
chr4-33050000-33050000-chr4-32550000-32550000	chr6-142000000-142000000-chr6-142750000-142750000	chr15-19400000-19400000-chr15-18450000-18450000
chr5-94650000-94650000-chr5-96700000-96700000	chr4-87400000-87400000-chr4-86100000-86100000	chr9-33450000-33450000-chr9-33200000-33200000
chr16-4950000-4950000-chr16-6300000-6300000	chr4-142750000-142750000-chr4-139800000-139800000	chrY-12700000-12700000-chrY-11550000-11550000
chr7-57450000-57450000-chr7-56450000-56450000	chr6-107900000-107900000-chr6-104500000-104500000	chr5-16850000-16850000-chr5-16450000-16450000
chr17-73900000-73900000-chr17-73700000-73700000	chr2-128350000-128350000-chr2-128900000-128900000	chr1-650000-650000-chr1-1100000-1100000
chr1-162900000-162900000-chr1-160700000-160700000	chr1-41200000-41200000-chr1-42700000-42700000	chr11-16350000-16350000-chr11-16050000-16050000
chr12-98750000-98750000-chr12-100050000-100050000	chr4-135150000-135150000-chr4-134300000-134300000	chr5-60950000-60950000-chr5-60300000-60300000
chr3-139500000-139500000-chr3-139000000-139000000	chr11-109750000-109750000-chr11-110450000-110450000	chr18-90400000-90400000-chr18-90050000-90050000
chr10-59950000-59950000-chr10-59150000-59150000	chr6-73050000-73050000-chr6-72050000-72050000	chr4-52200000-52200000-chr4-53800000-53800000
chr2-131150000-131150000-chr2-130250000-130250000	chr2-84400000-84400000-chr2-83350000-83350000	chrY-65500000-65500000-chrY-65900000-65900000
chr8-83200000-83200000-chr8-85300000-85300000	chr8-118100000-118100000-chr8-117350000-117350000	chr1-27500000-27500000-chr1-26050000-26050000
chr13-41250000-41250000-chr13-40200000-40200000	chr12-116100000-116100000-chr12-115600000-115600000	chrX-130650000-130650000-chrX-132400000-132400000
chr1-151650000-151650000-chr1-149900000-149900000	chr5-18650000-18650000-chr5-17800000-17800000	chr15-24350000-24350000-chr15-23550000-23550000
chr13-76100000-76100000-chr13-76550000-76550000	chr15-84500000-84500000-chr15-85450000-85450000	chr3-83000000-83000000-chr3-81400000-81400000
chr17-75250000-75250000-chr17-74550000-74550000	chr1-164550000-164550000-chr1-163850000-163850000	chr14-111250000-111250000-chr14-110200000-110200000
chr8-104950000-104950000-chr8-104100000-104100000	chr17-26500000-26500000-chr17-25700000-25700000	chr6-122650000-122650000-chr6-123600000-123600000
chr6-59400000-59400000-chr6-60400000-60400000	chr5-119350000-119350000-chr5-118700000-118700000	chr12-27200000-27200000-chr12-26750000-26750000
