GG	GN	NN
chr15-81350000-81350000-chr15-81750000-81750000	chr15-72600000-72600000-chr15-71300000-71300000	chr14-6150000-6150000-chr14-7500000-7500000
chr6-96500000-96500000-chr6-94700000-94700000	chr18-7000000-7000000-chr18-6550000-6550000	chr3-80450000-80450000-chr3-79050000-79050000
chr2-120900000-120900000-chr2-122450000-122450000	chr18-9750000-9750000-chr18-11150000-11150000	chr8-8300000-8300000-chr8-7800000-7800000
chr13-77400000-77400000-chr13-77750000-77750000	chr15-81250000-81250000-chr15-79950000-79950000	chr14-82050000-82050000-chr14-82350000-82350000
chr1-129600000-129600000-chr1-130200000-130200000	chr8-10500000-10500000-chr8-8500000-8500000	chr10-47300000-47300000-chr10-47700000-47700000
chrX-144700000-144700000-chrX-141600000-141600000	chr1-98350000-98350000-chr1-100100000-100100000	chr17-17650000-17650000-chr17-16700000-16700000
chr3-29500000-29500000-chr3-29150000-29150000	chr10-115350000-115350000-chr10-118050000-118050000	chr6-53100000-53100000-chr6-50900000-50900000
chr4-9300000-9300000-chr4-6750000-6750000	chr9-103300000-103300000-chr9-104900000-104900000	chr5-10800000-10800000-chr5-13100000-13100000
chr15-27500000-27500000-chr15-25400000-25400000	chr15-42550000-42550000-chr15-43650000-43650000	chrY-89050000-89050000-chrY-89050000-89050000
chr10-13550000-13550000-chr10-12700000-12700000	chr10-48850000-48850000-chr10-50950000-50950000	chr19-52800000-52800000-chr19-51200000-51200000
chr5-103250000-103250000-chr5-103900000-103900000	chr3-76900000-76900000-chr3-76200000-76200000	chr15-90300000-90300000-chr15-89200000-89200000
chr12-112050000-112050000-chr12-111350000-111350000	chr6-111100000-111100000-chr6-112050000-112050000	chr8-95150000-95150000-chr8-96000000-96000000
chr1-160750000-160750000-chr1-159900000-159900000	chr7-67550000-67550000-chr7-66200000-66200000	chrY-7850000-7850000-chrY-12500000-12500000
chr16-35350000-35350000-chr16-36000000-36000000	chr10-119400000-119400000-chr10-120000000-120000000	chr12-106900000-106900000-chr12-106150000-106150000
chr10-77600000-77600000-chr10-76350000-76350000	chr13-65550000-65550000-chr13-65100000-65100000	chr6-73750000-73750000-chr6-74650000-74650000
chr18-34000000-34000000-chr18-35200000-35200000	chr7-73200000-73200000-chr7-75150000-75150000	chr7-94100000-94100000-chr7-93350000-93350000
chr1-154250000-154250000-chr1-155200000-155200000	chr12-85750000-85750000-chr12-84000000-84000000	chr12-93100000-93100000-chr12-92350000-92350000
chr5-103500000-103500000-chr5-102950000-102950000	chr7-17550000-17550000-chr7-16200000-16200000	chr14-41450000-41450000-chr14-41750000-41750000
chr2-11650000-11650000-chr2-12350000-12350000	chr2-62900000-62900000-chr2-63850000-63850000	chr6-2900000-2900000-chr6-2900000-2900000
chr11-104400000-104400000-chr11-106250000-106250000	chr12-103500000-103500000-chr12-104150000-104150000	chrX-23050000-23050000-chrX-22700000-22700000
chr13-48150000-48150000-chr13-46700000-46700000	chr14-69000000-69000000-chr14-69800000-69800000	chr2-63800000-63800000-chr2-63250000-63250000
chr17-80150000-80150000-chr17-81500000-81500000	chr11-26850000-26850000-chr11-26500000-26500000	chrX-125050000-125050000-chrX-124150000-124150000
