GG	GN	NN
chr6-92800000-92800000-chr6-92150000-92150000	chr12-34600000-34600000-chr12-33550000-33550000	chrX-14700000-14700000-chrX-11200000-11200000
chr19-11750000-11750000-chr19-11200000-11200000	chr1-183200000-183200000-chr1-182700000-182700000	chr4-85400000-85400000-chr4-86950000-86950000
chr9-39550000-39550000-chr9-40150000-40150000	chr6-83600000-83600000-chr6-85300000-85300000	chr2-87650000-87650000-chr2-89700000-89700000
chr16-95550000-95550000-chr16-96000000-96000000	chr1-151200000-151200000-chr1-152400000-152400000	chrY-78350000-78350000-chrY-76900000-76900000
chr5-27850000-27850000-chr5-29350000-29350000	chr11-24850000-24850000-chr11-24500000-24500000	chr10-114000000-114000000-chr10-112000000-112000000
chr15-55900000-55900000-chr15-57400000-57400000	chr11-29400000-29400000-chr11-27850000-27850000	chrX-125200000-125200000-chrX-123800000-123800000
chr13-109800000-109800000-chr13-109150000-109150000	chr16-50550000-50550000-chr16-51600000-51600000	chr1-186400000-186400000-chr1-184300000-184300000
chr8-119150000-119150000-chr8-119450000-119450000	chr9-81550000-81550000-chr9-82050000-82050000	chrX-58450000-58450000-chrX-57350000-57350000
chr6-46450000-46450000-chr6-45500000-45500000	chr10-101350000-101350000-chr10-102000000-102000000	chrY-89850000-89850000-chrY-89350000-89350000
chr4-113050000-113050000-chr4-113800000-113800000	chr16-81350000-81350000-chr16-82550000-82550000	chr1-159500000-159500000-chr1-159500000-159500000
chr4-41500000-41500000-chr4-42050000-42050000	chr18-4550000-4550000-chr18-5300000-5300000	chrY-79850000-79850000-chrY-79500000-79500000
chr12-55700000-55700000-chr12-56900000-56900000	chrX-82400000-82400000-chrX-83100000-83100000	chr5-119150000-119150000-chr5-118400000-118400000
chr4-155200000-155200000-chr4-154000000-154000000	chr5-104250000-104250000-chr5-103100000-103100000	chrY-74050000-74050000-chrY-75850000-75850000
chr5-108550000-108550000-chr5-107950000-107950000	chr10-97850000-97850000-chr10-96200000-96200000	chr8-42500000-42500000-chr8-41650000-41650000
chr1-170250000-170250000-chr1-171150000-171150000	chr11-43050000-43050000-chr11-42550000-42550000	chr9-39050000-39050000-chr9-39900000-39900000
chr5-149700000-149700000-chr5-150550000-150550000	chr9-57300000-57300000-chr9-58250000-58250000	chr10-102400000-102400000-chr10-101200000-101200000
chr17-12050000-12050000-chr17-11450000-11450000	chr17-77800000-77800000-chr17-79000000-79000000	chr1-114800000-114800000-chr1-114000000-114000000
