GG	GN	NN
chr14-70050000-70050000-chr14-70600000-70600000	chr10-14800000-14800000-chr10-14450000-14450000	chr2-45750000-45750000-chr2-46900000-46900000
chr19-43200000-43200000-chr19-42100000-42100000	chr15-37450000-37450000-chr15-36800000-36800000	chr14-2600000-2600000-chr14-3150000-3150000
chr7-112150000-112150000-chr7-110550000-110550000	chr10-73350000-73350000-chr10-76300000-76300000	chr17-77400000-77400000-chr17-76650000-76650000
chr14-23950000-23950000-chr14-22950000-22950000	chr11-16750000-16750000-chr11-18100000-18100000	chr9-91350000-91350000-chr9-90650000-90650000
chr7-25500000-25500000-chr7-28750000-28750000	chr13-112900000-112900000-chr13-112750000-112750000	chr4-144850000-144850000-chr4-145900000-145900000
chr7-44500000-44500000-chr7-44000000-44000000	chr12-56750000-56750000-chr12-56300000-56300000	chr5-77450000-77450000-chr5-78300000-78300000
chr13-112350000-112350000-chr13-114100000-114100000	chr11-88250000-88250000-chr11-89000000-89000000	chr11-19050000-19050000-chr11-20150000-20150000
chr13-28600000-28600000-chr13-29450000-29450000	chr11-115800000-115800000-chr11-117450000-117450000	chr17-4350000-4350000-chr17-5450000-5450000
chr4-100300000-100300000-chr4-99900000-99900000	chr9-93850000-93850000-chr9-94850000-94850000	chr10-40150000-40150000-chr10-38600000-38600000
chr15-11400000-11400000-chr15-12350000-12350000	chr8-105150000-105150000-chr8-103800000-103800000	chr11-119100000-119100000-chr11-120200000-120200000
chr3-27700000-27700000-chr3-27200000-27200000	chr1-56500000-56500000-chr1-57850000-57850000	chr3-129350000-129350000-chr3-128300000-128300000
chr8-36750000-36750000-chr8-34600000-34600000	chr6-147550000-147550000-chr6-148700000-148700000	chr13-2200000-2200000-chr13-3050000-3050000
chr5-21000000-21000000-chr5-22300000-22300000	chr9-68250000-68250000-chr9-68950000-68950000	chr14-97650000-97650000-chr14-97000000-97000000
chr2-168100000-168100000-chr2-167300000-167300000	chr6-31500000-31500000-chr6-32600000-32600000	chr18-72400000-72400000-chr18-70950000-70950000
chr10-58550000-58550000-chr10-59050000-59050000	chr15-97200000-97200000-chr15-98000000-98000000	chr1-8250000-8250000-chr1-9400000-9400000
chr13-49500000-49500000-chr13-48600000-48600000	chr10-12650000-12650000-chr10-11950000-11950000	chr8-1250000-1250000-chr8-1850000-1850000
chr6-55050000-55050000-chr6-58600000-58600000	chr13-24900000-24900000-chr13-26750000-26750000	chr6-68950000-68950000-chr6-68350000-68350000
chr17-22200000-22200000-chr17-22950000-22950000	chr19-60550000-60550000-chr19-59250000-59250000	chrX-119650000-119650000-chrX-118400000-118400000
chr4-100400000-100400000-chr4-99250000-99250000	chr1-78950000-78950000-chr1-77700000-77700000	chr9-91500000-91500000-chr9-89800000-89800000
chr2-166900000-166900000-chr2-165800000-165800000	chr16-89250000-89250000-chr16-88800000-88800000	chr12-63400000-63400000-chr12-64850000-64850000
chr17-14300000-14300000-chr17-12650000-12650000	chr17-46550000-46550000-chr17-44350000-44350000	chr12-93650000-93650000-chr12-96450000-96450000
chr18-77650000-77650000-chr18-75050000-75050000	chr6-47350000-47350000-chr6-45850000-45850000	chr6-55650000-55650000-chr6-56000000-56000000
chr18-61850000-61850000-chr18-64400000-64400000	chr15-82600000-82600000-chr15-81800000-81800000	chrY-74750000-74750000-chrY-75750000-75750000
chr4-112300000-112300000-chr4-111150000-111150000	chr3-120600000-120600000-chr3-120100000-120100000	chr18-13400000-13400000-chr18-11500000-11500000
