GG	GN	NN
chr11-78100000-78100000-chr11-76700000-76700000	chr5-124750000-124750000-chr5-126600000-126600000	chrX-64600000-64600000-chrX-63750000-63750000
chr18-74200000-74200000-chr18-74600000-74600000	chrX-28850000-28850000-chrX-28500000-28500000	chr12-94150000-94150000-chr12-93000000-93000000
chr19-40000000-40000000-chr19-37400000-37400000	chr12-49800000-49800000-chr12-50400000-50400000	chr15-42000000-42000000-chr15-40450000-40450000
chr18-80100000-80100000-chr18-80850000-80850000	chr11-27750000-27750000-chr11-26400000-26400000	chr13-69700000-69700000-chr13-72450000-72450000
chr2-21500000-21500000-chr2-23400000-23400000	chr6-102850000-102850000-chr6-105800000-105800000	chrY-50250000-50250000-chrY-50800000-50800000
chr4-123650000-123650000-chr4-125000000-125000000	chr8-32000000-32000000-chr8-33000000-33000000	chr9-38600000-38600000-chr9-39500000-39500000
chr14-39350000-39350000-chr14-38750000-38750000	chr2-80100000-80100000-chr2-81850000-81850000	chr4-69400000-69400000-chr4-69600000-69600000
chr6-96600000-96600000-chr6-97200000-97200000	chr13-114200000-114200000-chr13-113850000-113850000	chr12-50700000-50700000-chr12-52400000-52400000
chr2-166700000-166700000-chr2-165350000-165350000	chr2-124900000-124900000-chr2-124600000-124600000	chr8-44850000-44850000-chr8-43800000-43800000
chr18-43350000-43350000-chr18-42800000-42800000	chr18-52850000-52850000-chr18-53600000-53600000	chr7-1150000-1150000-chr7-2350000-2350000
chr16-31150000-31150000-chr16-31750000-31750000	chr10-5150000-5150000-chr10-5700000-5700000	chrX-115400000-115400000-chrX-114600000-114600000
chr5-22550000-22550000-chr5-21700000-21700000	chrX-165800000-165800000-chrX-163950000-163950000	chrX-79000000-79000000-chrX-78350000-78350000
chr4-97900000-97900000-chr4-98800000-98800000	chr18-46850000-46850000-chr18-47750000-47750000	chr18-22200000-22200000-chr18-24300000-24300000
chr3-142250000-142250000-chr3-142700000-142700000	chr1-65500000-65500000-chr1-66200000-66200000	chrY-51550000-51550000-chrY-50450000-50450000
chr13-17400000-17400000-chr13-18250000-18250000	chr18-51000000-51000000-chr18-53900000-53900000	chr11-39400000-39400000-chr11-39950000-39950000
