GG	GN	NN
chr17-71050000-71050000-chr17-70300000-70300000	chr7-95400000-95400000-chr7-96350000-96350000	chrY-20450000-20450000-chrY-19450000-19450000
chr15-81350000-81350000-chr15-81750000-81750000	chr14-26350000-26350000-chr14-27100000-27100000	chrY-10200000-10200000-chrY-9450000-9450000
chrX-139550000-139550000-chrX-140950000-140950000	chrX-72950000-72950000-chrX-73300000-73300000	chrY-68150000-68150000-chrY-68550000-68550000
chr10-18800000-18800000-chr10-20700000-20700000	chr11-87750000-87750000-chr11-86300000-86300000	chr15-29450000-29450000-chr15-28700000-28700000
chr3-122600000-122600000-chr3-123450000-123450000	chr10-8450000-8450000-chr10-6500000-6500000	chrX-19700000-19700000-chrX-18350000-18350000
chr11-7150000-7150000-chr11-6050000-6050000	chr6-6900000-6900000-chr6-6000000-6000000	chr14-85000000-85000000-chr14-86150000-86150000
chr5-140300000-140300000-chr5-140300000-140300000	chr5-136450000-136450000-chr5-137050000-137050000	chr2-116450000-116450000-chr2-117100000-117100000
chr10-40850000-40850000-chr10-39450000-39450000	chr10-72800000-72800000-chr10-73850000-73850000	chr1-29350000-29350000-chr1-28250000-28250000
chr17-11900000-11900000-chr17-10850000-10850000	chr4-117950000-117950000-chr4-118900000-118900000	chr16-63150000-63150000-chr16-63400000-63400000
chr14-34350000-34350000-chr14-32150000-32150000	chr2-53000000-53000000-chr2-52350000-52350000	chr8-29750000-29750000-chr8-28400000-28400000
chr9-26800000-26800000-chr9-29700000-29700000	chr2-143000000-143000000-chr2-141500000-141500000	chrY-33650000-33650000-chrY-31750000-31750000
chr11-108450000-108450000-chr11-109800000-109800000	chr6-135700000-135700000-chr6-135250000-135250000	chr7-110200000-110200000-chr7-111400000-111400000
chr15-81150000-81150000-chr15-79600000-79600000	chr5-18200000-18200000-chr5-17650000-17650000	chr15-32000000-32000000-chr15-35350000-35350000
chr8-67550000-67550000-chr8-69850000-69850000	chr12-36250000-36250000-chr12-36850000-36850000	chr12-50200000-50200000-chr12-50950000-50950000
chr5-86600000-86600000-chr5-86050000-86050000	chr7-86950000-86950000-chr7-85250000-85250000	chr13-72300000-72300000-chr13-72950000-72950000
chr14-7850000-7850000-chr14-7550000-7550000	chr4-58100000-58100000-chr4-60850000-60850000	chr1-4850000-4850000-chr1-5800000-5800000
chr7-84350000-84350000-chr7-82300000-82300000	chr9-56950000-56950000-chr9-55950000-55950000	chrX-132200000-132200000-chrX-133800000-133800000
chr11-97950000-97950000-chr11-98800000-98800000	chr3-123050000-123050000-chr3-123600000-123600000	chr14-59150000-59150000-chr14-58600000-58600000
chr12-74200000-74200000-chr12-73650000-73650000	chr19-3850000-3850000-chr19-5000000-5000000	chr6-13350000-13350000-chr6-13700000-13700000
chr12-99800000-99800000-chr12-100400000-100400000	chr18-27900000-27900000-chr18-28900000-28900000	chr7-111850000-111850000-chr7-113500000-113500000
chr19-45000000-45000000-chr19-43900000-43900000	chr6-14200000-14200000-chr6-14900000-14900000	chr2-37750000-37750000-chr2-38650000-38650000
chr3-95250000-95250000-chr3-94450000-94450000	chr4-85300000-85300000-chr4-85600000-85600000	chr14-98200000-98200000-chr14-98800000-98800000
chr2-29200000-29200000-chr2-31950000-31950000	chr4-76900000-76900000-chr4-74950000-74950000	chr18-18000000-18000000-chr18-17400000-17400000
chr9-122850000-122850000-chr9-120550000-120550000	chr7-127950000-127950000-chr7-126800000-126800000	chr6-18350000-18350000-chr6-21050000-21050000
chr8-104100000-104100000-chr8-102700000-102700000	chr8-19850000-19850000-chr8-20550000-20550000	chr8-26200000-26200000-chr8-26850000-26850000
chr14-117150000-117150000-chr14-117500000-117500000	chr8-16100000-16100000-chr8-17950000-17950000	chr6-78800000-78800000-chr6-79200000-79200000
chr8-38050000-38050000-chr8-39050000-39050000	chr12-89450000-89450000-chr12-88150000-88150000	chr6-78100000-78100000-chr6-78700000-78700000
chr7-82250000-82250000-chr7-81000000-81000000	chr2-172250000-172250000-chr2-171100000-171100000	chr8-13500000-13500000-chr8-15150000-15150000
chr5-27100000-27100000-chr5-28550000-28550000	chr3-150950000-150950000-chr3-152300000-152300000	chrY-4200000-4200000-chrY-3100000-3100000
chr5-72800000-72800000-chr5-72100000-72100000	chrX-86450000-86450000-chrX-87500000-87500000	chrX-123450000-123450000-chrX-125500000-125500000
chr4-110900000-110900000-chr4-111800000-111800000	chr5-99250000-99250000-chr5-98850000-98850000	chr7-132900000-132900000-chr7-131800000-131800000
chr1-22750000-22750000-chr1-21000000-21000000	chr3-45300000-45300000-chr3-46300000-46300000	chr1-177500000-177500000-chr1-177850000-177850000
chr14-117950000-117950000-chr14-117250000-117250000	chr10-65950000-65950000-chr10-63350000-63350000	chrY-57550000-57550000-chrY-58250000-58250000
chr5-114600000-114600000-chr5-113850000-113850000	chrX-162400000-162400000-chrX-163150000-163150000	chr2-159300000-159300000-chr2-157350000-157350000
chr15-36150000-36150000-chr15-34650000-34650000	chr3-18950000-18950000-chr3-19300000-19300000	chrY-59050000-59050000-chrY-56500000-56500000
