GG	GN	NN
chr6-46300000-46300000-chr6-47150000-47150000	chr16-80800000-80800000-chr16-79000000-79000000	chr2-80300000-80300000-chr2-80950000-80950000
chr11-120250000-120250000-chr11-121350000-121350000	chr2-20600000-20600000-chr2-19800000-19800000	chrY-11450000-11450000-chrY-12500000-12500000
chr11-88400000-88400000-chr11-90000000-90000000	chr14-17550000-17550000-chr14-18600000-18600000	chr7-80550000-80550000-chr7-79950000-79950000
chr6-38450000-38450000-chr6-38650000-38650000	chr15-23100000-23100000-chr15-22100000-22100000	chr16-58150000-58150000-chr16-56450000-56450000
chr8-118550000-118550000-chr8-117100000-117100000	chrX-100150000-100150000-chrX-99250000-99250000	chrX-109500000-109500000-chrX-111000000-111000000
chr12-54650000-54650000-chr12-53050000-53050000	chr19-8400000-8400000-chr19-9700000-9700000	chrX-113850000-113850000-chrX-111550000-111550000
chr9-20950000-20950000-chr9-21800000-21800000	chr12-79550000-79550000-chr12-81550000-81550000	chr4-8450000-8450000-chr4-6500000-6500000
chrX-135000000-135000000-chrX-134200000-134200000	chr2-135050000-135050000-chr2-134300000-134300000	chr15-70200000-70200000-chr15-68450000-68450000
chr8-85550000-85550000-chr8-86000000-86000000	chr17-53650000-53650000-chr17-54650000-54650000	chr3-5650000-5650000-chr3-7300000-7300000
chr1-161950000-161950000-chr1-160200000-160200000	chr1-185800000-185800000-chr1-184750000-184750000	chr5-118900000-118900000-chr5-120050000-120050000
chr1-54050000-54050000-chr1-55550000-55550000	chr6-118250000-118250000-chr6-117250000-117250000	chr13-2100000-2100000-chr13-250000-250000
chr11-8650000-8650000-chr11-9350000-9350000	chr14-92300000-92300000-chr14-93550000-93550000	chr10-68900000-68900000-chr10-69150000-69150000
chr1-135350000-135350000-chr1-134500000-134500000	chr15-13150000-13150000-chr15-14350000-14350000	chr3-1900000-1900000-chr3-2550000-2550000
chr1-17150000-17150000-chr1-16400000-16400000	chr11-26100000-26100000-chr11-25550000-25550000	chr1-190000000-190000000-chr1-191250000-191250000
chr7-117650000-117650000-chr7-115600000-115600000	chr18-81050000-81050000-chr18-78750000-78750000	chr4-52650000-52650000-chr4-52100000-52100000
chrX-51400000-51400000-chrX-52500000-52500000	chr17-43500000-43500000-chr17-41800000-41800000	chr12-98400000-98400000-chr12-99500000-99500000
chr2-135450000-135450000-chr2-135000000-135000000	chr3-137500000-137500000-chr3-136900000-136900000	chrX-123500000-123500000-chrX-122600000-122600000
chr11-74900000-74900000-chr11-73800000-73800000	chr2-168300000-168300000-chr2-168950000-168950000	chrY-8300000-8300000-chrY-5850000-5850000
chr7-33650000-33650000-chr7-34200000-34200000	chr13-17650000-17650000-chr13-16200000-16200000	chr17-79100000-79100000-chr17-78450000-78450000
chr17-67000000-67000000-chr17-68300000-68300000	chr7-115850000-115850000-chr7-114300000-114300000	chr4-94350000-94350000-chr4-93300000-93300000
chr2-142250000-142250000-chr2-140950000-140950000	chr4-155050000-155050000-chr4-153450000-153450000	chrX-29200000-29200000-chrX-28800000-28800000
chr6-55400000-55400000-chr6-56300000-56300000	chr6-22200000-22200000-chr6-23900000-23900000	chr17-17650000-17650000-chr17-17000000-17000000
chr15-78450000-78450000-chr15-79500000-79500000	chr8-82050000-82050000-chr8-80750000-80750000	chr4-52100000-52100000-chr4-53950000-53950000
chr2-6800000-6800000-chr2-7100000-7100000	chr1-169850000-169850000-chr1-167250000-167250000	chrY-76000000-76000000-chrY-77000000-77000000
chr14-23800000-23800000-chr14-22500000-22500000	chr12-78200000-78200000-chr12-79550000-79550000	chr2-82550000-82550000-chr2-83700000-83700000
chr4-41400000-41400000-chr4-42850000-42850000	chr2-86700000-86700000-chr2-85850000-85850000	chr15-21900000-21900000-chr15-22250000-22250000
chr18-31250000-31250000-chr18-30300000-30300000	chr14-73050000-73050000-chr14-71150000-71150000	chr5-41350000-41350000-chr5-39750000-39750000
chr5-89100000-89100000-chr5-86900000-86900000	chr6-12700000-12700000-chr6-10900000-10900000	chrY-37100000-37100000-chrY-37650000-37650000
chr5-122600000-122600000-chr5-121450000-121450000	chr13-94750000-94750000-chr13-95600000-95600000	chr11-56250000-56250000-chr11-55200000-55200000
chr3-26000000-26000000-chr3-27200000-27200000	chr5-36450000-36450000-chr5-35450000-35450000	chr12-6850000-6850000-chr12-6000000-6000000
chr14-122900000-122900000-chr14-122000000-122000000	chr13-98850000-98850000-chr13-99800000-99800000	chr10-18550000-18550000-chr10-15350000-15350000
chr15-83450000-83450000-chr15-84300000-84300000	chr4-40600000-40600000-chr4-41050000-41050000	chr15-67100000-67100000-chr15-67700000-67700000
chr19-24300000-24300000-chr19-25350000-25350000	chr1-67450000-67450000-chr1-66650000-66650000	chr10-75400000-75400000-chr10-76250000-76250000
chr16-35200000-35200000-chr16-35200000-35200000	chr7-76700000-76700000-chr7-79950000-79950000	chrY-70450000-70450000-chrY-71500000-71500000
chr15-51350000-51350000-chr15-48600000-48600000	chr6-7250000-7250000-chr6-6250000-6250000	chr10-110650000-110650000-chr10-112050000-112050000
chr8-66700000-66700000-chr8-67500000-67500000	chr6-53200000-53200000-chr6-52800000-52800000	chrY-84550000-84550000-chrY-84950000-84950000
chr12-91050000-91050000-chr12-89850000-89850000	chr8-70400000-70400000-chr8-67050000-67050000	chr4-121550000-121550000-chr4-122300000-122300000
chr12-71000000-71000000-chr12-73100000-73100000	chr9-73050000-73050000-chr9-75750000-75750000	chr19-54300000-54300000-chr19-54850000-54850000
chr4-116450000-116450000-chr4-116150000-116150000	chr16-74300000-74300000-chr16-75450000-75450000	chr1-149200000-149200000-chr1-149750000-149750000
chr1-185750000-185750000-chr1-185000000-185000000	chr11-22100000-22100000-chr11-21200000-21200000	chr7-2600000-2600000-chr7-3050000-3050000
chr13-47200000-47200000-chr13-48150000-48150000	chr7-58250000-58250000-chr7-59350000-59350000	chrY-79950000-79950000-chrY-82050000-82050000
chr5-23650000-23650000-chr5-22250000-22250000	chr2-37950000-37950000-chr2-36500000-36500000	chrY-86400000-86400000-chrY-87100000-87100000
chr12-38300000-38300000-chr12-37500000-37500000	chr5-62700000-62700000-chr5-62100000-62100000	chr1-5250000-5250000-chr1-6200000-6200000
chrX-93450000-93450000-chrX-95150000-95150000	chr10-19650000-19650000-chr10-21100000-21100000	chr4-127600000-127600000-chr4-130650000-130650000
chr12-33200000-33200000-chr12-31850000-31850000	chr6-33850000-33850000-chr6-33150000-33150000	chr4-2800000-2800000-chr4-3300000-3300000
chr15-11850000-11850000-chr15-12550000-12550000	chr4-137200000-137200000-chr4-139550000-139550000	chr14-111950000-111950000-chr14-113400000-113400000
chr11-118200000-118200000-chr11-118700000-118700000	chr16-51000000-51000000-chr16-50050000-50050000	chr10-55850000-55850000-chr10-56950000-56950000
chr15-46350000-46350000-chr15-48100000-48100000	chr1-177850000-177850000-chr1-178900000-178900000	chr1-103200000-103200000-chr1-103850000-103850000
chr12-83900000-83900000-chr12-83050000-83050000	chr2-123200000-123200000-chr2-125700000-125700000	chr11-16450000-16450000-chr11-17250000-17250000
