GG	GN	NN
chr4-113750000-113750000-chr4-115000000-115000000	chr6-33300000-33300000-chr6-35500000-35500000	chr15-16300000-16300000-chr15-16900000-16900000
chr7-47450000-47450000-chr7-45300000-45300000	chr10-36700000-36700000-chr10-35450000-35450000	chr3-13450000-13450000-chr3-11650000-11650000
chr2-41900000-41900000-chr2-42650000-42650000	chr10-11550000-11550000-chr10-10700000-10700000	chr13-88750000-88750000-chr13-87900000-87900000
chr11-55100000-55100000-chr11-55550000-55550000	chr13-30050000-30050000-chr13-29350000-29350000	chr5-132600000-132600000-chr5-133700000-133700000
chr4-111400000-111400000-chr4-112150000-112150000	chr6-111700000-111700000-chr6-110900000-110900000	chr1-3050000-3050000-chr1-2000000-2000000
chr10-13700000-13700000-chr10-12950000-12950000	chr1-93400000-93400000-chr1-94400000-94400000	chr12-15100000-15100000-chr12-15650000-15650000
chr7-24300000-24300000-chr7-26200000-26200000	chr6-98550000-98550000-chr6-99150000-99150000	chr11-56300000-56300000-chr11-57000000-57000000
chr4-109850000-109850000-chr4-109250000-109250000	chr4-153950000-153950000-chr4-153050000-153050000	chr14-16150000-16150000-chr14-15850000-15850000
chr2-164800000-164800000-chr2-165200000-165200000	chr15-38750000-38750000-chr15-38050000-38050000	chr16-92900000-92900000-chr16-92150000-92150000
chr10-64850000-64850000-chr10-67250000-67250000	chr10-18750000-18750000-chr10-18050000-18050000	chr8-13900000-13900000-chr8-15400000-15400000
chr2-150350000-150350000-chr2-148700000-148700000	chr11-16500000-16500000-chr11-14300000-14300000	chr11-112500000-112500000-chr11-111900000-111900000
chr4-118600000-118600000-chr4-121100000-121100000	chr17-10750000-10750000-chr17-9550000-9550000	chr1-5550000-5550000-chr1-4250000-4250000
chr3-19900000-19900000-chr3-19150000-19150000	chr2-63450000-63450000-chr2-62500000-62500000	chr14-109900000-109900000-chr14-109900000-109900000
chr3-103050000-103050000-chr3-103750000-103750000	chr2-117300000-117300000-chr2-116800000-116800000	chrX-147800000-147800000-chrX-146600000-146600000
chr1-54850000-54850000-chr1-54400000-54400000	chr14-8600000-8600000-chr14-9450000-9450000	chr18-85300000-85300000-chr18-87050000-87050000
chr6-30800000-30800000-chr6-32050000-32050000	chr16-81300000-81300000-chr16-81800000-81800000	chr4-60050000-60050000-chr4-61200000-61200000
chr4-151000000-151000000-chr4-151400000-151400000	chr13-63750000-63750000-chr13-60700000-60700000	chr8-98700000-98700000-chr8-99750000-99750000
chr3-27600000-27600000-chr3-29150000-29150000	chr2-86750000-86750000-chr2-87950000-87950000	chrX-156900000-156900000-chrX-159250000-159250000
chr1-87700000-87700000-chr1-87150000-87150000	chr18-56500000-56500000-chr18-56250000-56250000	chrX-23550000-23550000-chrX-22700000-22700000
chr12-118050000-118050000-chr12-117300000-117300000	chr5-14250000-14250000-chr5-12250000-12250000	chr2-38650000-38650000-chr2-40300000-40300000
chr3-158250000-158250000-chr3-157250000-157250000	chr1-54900000-54900000-chr1-56050000-56050000	chr3-147350000-147350000-chr3-148000000-148000000
chr11-71750000-71750000-chr11-72450000-72450000	chr11-42700000-42700000-chr11-43550000-43550000	chr3-124200000-124200000-chr3-124800000-124800000
chr1-178150000-178150000-chr1-176450000-176450000	chr10-113200000-113200000-chr10-114750000-114750000	chr10-15950000-15950000-chr10-17450000-17450000
chr17-48250000-48250000-chr17-46750000-46750000	chr2-8100000-8100000-chr2-6350000-6350000	chr4-67650000-67650000-chr4-69400000-69400000
chr11-59200000-59200000-chr11-58450000-58450000	chr14-66700000-66700000-chr14-65450000-65450000	chr3-31350000-31350000-chr3-32250000-32250000
chr3-157950000-157950000-chr3-159250000-159250000	chrX-108850000-108850000-chrX-107600000-107600000	chr14-24550000-24550000-chr14-24100000-24100000
chr2-42450000-42450000-chr2-41500000-41500000	chrX-146650000-146650000-chrX-148400000-148400000	chr4-23600000-23600000-chr4-22600000-22600000
chr6-47000000-47000000-chr6-47800000-47800000	chr7-60700000-60700000-chr7-60000000-60000000	chrY-75450000-75450000-chrY-74550000-74550000
chr8-119300000-119300000-chr8-118300000-118300000	chr10-62300000-62300000-chr10-61050000-61050000	chrY-83650000-83650000-chrY-85200000-85200000
chr12-83550000-83550000-chr12-84150000-84150000	chr12-31650000-31650000-chr12-31150000-31150000	chr11-57550000-57550000-chr11-58850000-58850000
chr12-109650000-109650000-chr12-108800000-108800000	chr17-50400000-50400000-chr17-49750000-49750000	chrX-10250000-10250000-chrX-11200000-11200000
chr4-113000000-113000000-chr4-110900000-110900000	chr10-45600000-45600000-chr10-45000000-45000000	chr6-4050000-4050000-chr6-2900000-2900000
chr17-33550000-33550000-chr17-32400000-32400000	chr8-11700000-11700000-chr8-13450000-13450000	chr17-63000000-63000000-chr17-64250000-64250000
chr11-62500000-62500000-chr11-63900000-63900000	chrX-98800000-98800000-chrX-99100000-99100000	chr17-6500000-6500000-chr17-7700000-7700000
chr14-98450000-98450000-chr14-98150000-98150000	chr4-88350000-88350000-chr4-87400000-87400000	chrX-118550000-118550000-chrX-118150000-118150000
chr17-14300000-14300000-chr17-12750000-12750000	chr1-65600000-65600000-chr1-66350000-66350000	chr2-124750000-124750000-chr2-126300000-126300000
chr3-121800000-121800000-chr3-122450000-122450000	chr2-42050000-42050000-chr2-43400000-43400000	chr6-1700000-1700000-chr6-1200000-1200000
chr5-127650000-127650000-chr5-129000000-129000000	chr10-119750000-119750000-chr10-118300000-118300000	chr4-47200000-47200000-chr4-50700000-50700000
chr5-98950000-98950000-chr5-100450000-100450000	chr18-61550000-61550000-chr18-62950000-62950000	chr14-18250000-18250000-chr14-17250000-17250000
chr8-127400000-127400000-chr8-126150000-126150000	chr4-82700000-82700000-chr4-82100000-82100000	chr3-2950000-2950000-chr3-3300000-3300000
chr10-20350000-20350000-chr10-21350000-21350000	chr6-66350000-66350000-chr6-64400000-64400000	chr1-50700000-50700000-chr1-49600000-49600000
chr7-49550000-49550000-chr7-50850000-50850000	chr4-15200000-15200000-chr4-16200000-16200000	chr19-49750000-49750000-chr19-51050000-51050000
chr5-24550000-24550000-chr5-21450000-21450000	chr6-19500000-19500000-chr6-17800000-17800000	chrX-25000000-25000000-chrX-24550000-24550000
chr3-68700000-68700000-chr3-69700000-69700000	chr9-107250000-107250000-chr9-106700000-106700000	chr1-27150000-27150000-chr1-26650000-26650000
chr4-126500000-126500000-chr4-127050000-127050000	chr4-106750000-106750000-chr4-106200000-106200000	chr2-83050000-83050000-chr2-85100000-85100000
chr6-31900000-31900000-chr6-32900000-32900000	chr12-87750000-87750000-chr12-87000000-87000000	chr7-31250000-31250000-chr7-32300000-32300000
chr1-86800000-86800000-chr1-87450000-87450000	chr11-35000000-35000000-chr11-35500000-35500000	chr9-20600000-20600000-chr9-20200000-20200000
chr17-6700000-6700000-chr17-5050000-5050000	chr6-116700000-116700000-chr6-117600000-117600000	chr16-53100000-53100000-chr16-53750000-53750000
chr17-90800000-90800000-chr17-90250000-90250000	chr18-31900000-31900000-chr18-32350000-32350000	chr15-11750000-11750000-chr15-10950000-10950000
chr19-47650000-47650000-chr19-46150000-46150000	chrY-1600000-1600000-chrY-2600000-2600000	chr1-99750000-99750000-chr1-99100000-99100000
chr10-91950000-91950000-chr10-90800000-90800000	chr3-115900000-115900000-chr3-114850000-114850000	chr2-150700000-150700000-chr2-152200000-152200000
chr5-108100000-108100000-chr5-106900000-106900000	chr4-44050000-44050000-chr4-45100000-45100000	chrY-84550000-84550000-chrY-86350000-86350000
chr2-163350000-163350000-chr2-162100000-162100000	chr12-67000000-67000000-chr12-65450000-65450000	chr2-165250000-165250000-chr2-163800000-163800000
chr5-97050000-97050000-chr5-96400000-96400000	chr16-87850000-87850000-chr16-91750000-91750000	chr4-17100000-17100000-chr4-16100000-16100000
chr8-110150000-110150000-chr8-111450000-111450000	chr3-140100000-140100000-chr3-142000000-142000000	chr15-49550000-49550000-chr15-51600000-51600000
chr6-126150000-126150000-chr6-124850000-124850000	chr5-74550000-74550000-chr5-75300000-75300000	chr3-34500000-34500000-chr3-33450000-33450000
chr16-35100000-35100000-chr16-36700000-36700000	chr17-80600000-80600000-chr17-79750000-79750000	chrY-600000-600000-chrY-350000-350000
chr19-12650000-12650000-chr19-11650000-11650000	chr2-156150000-156150000-chr2-155600000-155600000	chr7-5200000-5200000-chr7-5800000-5800000
chr13-69600000-69600000-chr13-69600000-69600000	chr8-73200000-73200000-chr8-74300000-74300000	chr14-80900000-80900000-chr14-80500000-80500000
chr11-94850000-94850000-chr11-98450000-98450000	chr4-12900000-12900000-chr4-11000000-11000000	chr15-27450000-27450000-chr15-26200000-26200000
chr14-75150000-75150000-chr14-74700000-74700000	chr4-31300000-31300000-chr4-32500000-32500000	chr4-105550000-105550000-chr4-107900000-107900000
chr10-44300000-44300000-chr10-43150000-43150000	chr8-119600000-119600000-chr8-120200000-120200000	chr16-25000000-25000000-chr16-26150000-26150000
chr5-149750000-149750000-chr5-147050000-147050000	chr9-16400000-16400000-chr9-15100000-15100000	chr3-4550000-4550000-chr3-3500000-3500000
chr2-135050000-135050000-chr2-136000000-136000000	chr8-107950000-107950000-chr8-107500000-107500000	chr1-105900000-105900000-chr1-107400000-107400000
chr7-56000000-56000000-chr7-57250000-57250000	chr5-25950000-25950000-chr5-25550000-25550000	chr9-60750000-60750000-chr9-59250000-59250000
chrX-149800000-149800000-chrX-148450000-148450000	chr1-55300000-55300000-chr1-54200000-54200000	chr7-1500000-1500000-chr7-2200000-2200000
chr1-53300000-53300000-chr1-52050000-52050000	chr9-114850000-114850000-chr9-114350000-114350000	chrX-117050000-117050000-chrX-116400000-116400000
chr9-105000000-105000000-chr9-103150000-103150000	chr2-91800000-91800000-chr2-91450000-91450000	chr16-30650000-30650000-chr16-29200000-29200000
chr4-145050000-145050000-chr4-145700000-145700000	chrY-35900000-35900000-chrY-36450000-36450000	chr18-18500000-18500000-chr18-19550000-19550000
chr2-140800000-140800000-chr2-139900000-139900000	chr1-40300000-40300000-chr1-41650000-41650000	chr8-100250000-100250000-chr8-98900000-98900000
chr13-8250000-8250000-chr13-6550000-6550000	chr1-73250000-73250000-chr1-72600000-72600000	chr4-135650000-135650000-chr4-136450000-136450000
chr2-33450000-33450000-chr2-34550000-34550000	chr3-16850000-16850000-chr3-16000000-16000000	chr18-56700000-56700000-chr18-56150000-56150000
chr2-59750000-59750000-chr2-59150000-59150000	chr7-98500000-98500000-chr7-99500000-99500000	chr4-80250000-80250000-chr4-79000000-79000000
chr11-113950000-113950000-chr11-114450000-114450000	chr16-43800000-43800000-chr16-44750000-44750000	chr5-116350000-116350000-chr5-118550000-118550000
chr1-38600000-38600000-chr1-40600000-40600000	chr1-135350000-135350000-chr1-135950000-135950000	chr13-84950000-84950000-chr13-85850000-85850000
chr8-16000000-16000000-chr8-14700000-14700000	chr1-91700000-91700000-chr1-91000000-91000000	chr8-54350000-54350000-chr8-53850000-53850000
chr12-72550000-72550000-chr12-73650000-73650000	chr5-84300000-84300000-chr5-84550000-84550000	chr8-37300000-37300000-chr8-36050000-36050000
chr9-7350000-7350000-chr9-8600000-8600000	chr9-63350000-63350000-chr9-61950000-61950000	chr5-109850000-109850000-chr5-111300000-111300000
chr19-57800000-57800000-chr19-56600000-56600000	chr17-49850000-49850000-chr17-50200000-50200000	chr1-169350000-169350000-chr1-167900000-167900000
chr2-119300000-119300000-chr2-120750000-120750000	chrX-151300000-151300000-chrX-150800000-150800000	chr7-10350000-10350000-chr7-10850000-10850000
chr13-114150000-114150000-chr13-112550000-112550000	chr4-58350000-58350000-chr4-60300000-60300000	chr18-86900000-86900000-chr18-86300000-86300000
chr7-112100000-112100000-chr7-113300000-113300000	chr2-92750000-92750000-chr2-93850000-93850000	chr4-26750000-26750000-chr4-25300000-25300000
chr13-19150000-19150000-chr13-20550000-20550000	chr15-39300000-39300000-chr15-41350000-41350000	chr17-41450000-41450000-chr17-41900000-41900000
chr14-120500000-120500000-chr14-119250000-119250000	chr10-120250000-120250000-chr10-120850000-120850000	chr3-57450000-57450000-chr3-54650000-54650000
chr10-119950000-119950000-chr10-119550000-119550000	chr16-18400000-18400000-chr16-19400000-19400000	chr10-16900000-16900000-chr10-16200000-16200000
chr12-37900000-37900000-chr12-38550000-38550000	chr9-100150000-100150000-chr9-98300000-98300000	chr5-80750000-80750000-chr5-79150000-79150000
chr6-119800000-119800000-chr6-119300000-119300000	chr10-94350000-94350000-chr10-93900000-93900000	chr1-124850000-124850000-chr1-125600000-125600000
chr7-16850000-16850000-chr7-16400000-16400000	chr9-11550000-11550000-chr9-10400000-10400000	chr5-17900000-17900000-chr5-19050000-19050000
chr11-81800000-81800000-chr11-81000000-81000000	chr8-25000000-25000000-chr8-25400000-25400000	chr5-83850000-83850000-chr5-83100000-83100000
chrX-8550000-8550000-chrX-9450000-9450000	chr4-17500000-17500000-chr4-16200000-16200000	chr1-39600000-39600000-chr1-39000000-39000000
chr4-127050000-127050000-chr4-123350000-123350000	chr5-98650000-98650000-chr5-98150000-98150000	chr4-69350000-69350000-chr4-70550000-70550000
chr12-77000000-77000000-chr12-75400000-75400000	chr3-125450000-125450000-chr3-124550000-124550000	chr9-108900000-108900000-chr9-107250000-107250000
chr15-88600000-88600000-chr15-91050000-91050000	chr19-5700000-5700000-chr19-6600000-6600000	chr14-84650000-84650000-chr14-85300000-85300000
chr14-66250000-66250000-chr14-67250000-67250000	chr18-64800000-64800000-chr18-66000000-66000000	chr12-81000000-81000000-chr12-80450000-80450000
chr19-42350000-42350000-chr19-42750000-42750000	chr11-74700000-74700000-chr11-73950000-73950000	chr10-55800000-55800000-chr10-54950000-54950000
chr12-103600000-103600000-chr12-102750000-102750000	chr8-105950000-105950000-chr8-103350000-103350000	chrX-28150000-28150000-chrX-29350000-29350000
chr2-29350000-29350000-chr2-27450000-27450000	chr16-21650000-21650000-chr16-22300000-22300000	chr2-9700000-9700000-chr2-10700000-10700000
chr17-63100000-63100000-chr17-64300000-64300000	chr16-90650000-90650000-chr16-93350000-93350000	chr11-20850000-20850000-chr11-17700000-17700000
chr11-117350000-117350000-chr11-118450000-118450000	chr17-28850000-28850000-chr17-28000000-28000000	chrX-30850000-30850000-chrX-32700000-32700000
chr2-142800000-142800000-chr2-142050000-142050000	chr4-26650000-26650000-chr4-28750000-28750000	chr3-63600000-63600000-chr3-62950000-62950000
chr2-166050000-166050000-chr2-165450000-165450000	chr3-121350000-121350000-chr3-120900000-120900000	chrY-68350000-68350000-chrY-72900000-72900000
chr17-66700000-66700000-chr17-66400000-66400000	chr5-43900000-43900000-chr5-44450000-44450000	chr18-1600000-1600000-chr18-750000-750000
chr18-65400000-65400000-chr18-65800000-65800000	chr5-40450000-40450000-chr5-39600000-39600000	chr10-125350000-125350000-chr10-124250000-124250000
chr10-25400000-25400000-chr10-26050000-26050000	chr1-80650000-80650000-chr1-81950000-81950000	chr12-94450000-94450000-chr12-96150000-96150000
chr8-70850000-70850000-chr8-71600000-71600000	chrX-50600000-50600000-chrX-50050000-50050000	chr4-13050000-13050000-chr4-12100000-12100000
chr13-24050000-24050000-chr13-24800000-24800000	chr8-48100000-48100000-chr8-49000000-49000000	chr5-28050000-28050000-chr5-26650000-26650000
chr10-62200000-62200000-chr10-63350000-63350000	chr18-44450000-44450000-chr18-43950000-43950000	chr18-87050000-87050000-chr18-86350000-86350000
chr7-45500000-45500000-chr7-47350000-47350000	chr2-124850000-124850000-chr2-126150000-126150000	chrY-47850000-47850000-chrY-46950000-46950000
chr5-32850000-32850000-chr5-31700000-31700000	chr9-83400000-83400000-chr9-82250000-82250000	chr5-12300000-12300000-chr5-13250000-13250000
