GG	GN	NN
chr13-99450000-99450000-chr13-98200000-98200000	chr14-26650000-26650000-chr14-26000000-26000000	chr4-21300000-21300000-chr4-22850000-22850000
chr2-154450000-154450000-chr2-155850000-155850000	chr2-154600000-154600000-chr2-153700000-153700000	chr10-72750000-72750000-chr10-72350000-72350000
chr6-31400000-31400000-chr6-33250000-33250000	chr13-14450000-14450000-chr13-12950000-12950000	chr2-90000000-90000000-chr2-91050000-91050000
chr14-57500000-57500000-chr14-55600000-55600000	chr8-122500000-122500000-chr8-117900000-117900000	chr6-109450000-109450000-chr6-109900000-109900000
chr11-62450000-62450000-chr11-61700000-61700000	chr2-14650000-14650000-chr2-15500000-15500000	chrX-97200000-97200000-chrX-97100000-97100000
chrX-68700000-68700000-chrX-71250000-71250000	chr5-15100000-15100000-chr5-15700000-15700000	chr8-78750000-78750000-chr8-76100000-76100000
chr8-72900000-72900000-chr8-72000000-72000000	chr4-13000000-13000000-chr4-15100000-15100000	chr1-97800000-97800000-chr1-97400000-97400000
chr5-65300000-65300000-chr5-66400000-66400000	chr7-33750000-33750000-chr7-35500000-35500000	chr8-98850000-98850000-chr8-100500000-100500000
chr19-44400000-44400000-chr19-43350000-43350000	chr3-19200000-19200000-chr3-20700000-20700000	chr1-35300000-35300000-chr1-34450000-34450000
chr1-83350000-83350000-chr1-84100000-84100000	chr9-106400000-106400000-chr9-105350000-105350000	chr14-109300000-109300000-chr14-111400000-111400000
chr1-138600000-138600000-chr1-140350000-140350000	chr1-78950000-78950000-chr1-77700000-77700000	chr1-25050000-25050000-chr1-26050000-26050000
chr9-107150000-107150000-chr9-105750000-105750000	chr4-118150000-118150000-chr4-118950000-118950000	chr1-104650000-104650000-chr1-105500000-105500000
chr19-32050000-32050000-chr19-31350000-31350000	chr1-69700000-69700000-chr1-69950000-69950000	chrX-60050000-60050000-chrX-61750000-61750000
chr16-34800000-34800000-chr16-35950000-35950000	chr13-9100000-9100000-chr13-9850000-9850000	chr14-97750000-97750000-chr14-95550000-95550000
chr2-152300000-152300000-chr2-155850000-155850000	chr1-158250000-158250000-chr1-156550000-156550000	chr4-70550000-70550000-chr4-72600000-72600000
chr5-139150000-139150000-chr5-138450000-138450000	chr3-156000000-156000000-chr3-154300000-154300000	chr4-68350000-68350000-chr4-69300000-69300000
chr8-19200000-19200000-chr8-18600000-18600000	chr13-76750000-76750000-chr13-75800000-75800000	chr18-62500000-62500000-chr18-61450000-61450000
chr10-10900000-10900000-chr10-9900000-9900000	chr10-12550000-12550000-chr10-13900000-13900000	chr5-39350000-39350000-chr5-39050000-39050000
