GG	GN	NN
chr7-138950000-138950000-chr7-137000000-137000000	chr7-4100000-4100000-chr7-2850000-2850000	chrY-77500000-77500000-chrY-78900000-78900000
chr16-29250000-29250000-chr16-28850000-28850000	chr8-11050000-11050000-chr8-12550000-12550000	chr3-36700000-36700000-chr3-39300000-39300000
chr19-16200000-16200000-chr19-14500000-14500000	chr15-99950000-99950000-chr15-98850000-98850000	chr7-8850000-8850000-chr7-8500000-8500000
chr7-22200000-22200000-chr7-22900000-22900000	chr1-82250000-82250000-chr1-80050000-80050000	chr6-69400000-69400000-chr6-68600000-68600000
chr3-158150000-158150000-chr3-158450000-158450000	chr7-103250000-103250000-chr7-101650000-101650000	chr7-14350000-14350000-chr7-12100000-12100000
chr5-74950000-74950000-chr5-74050000-74050000	chr1-127050000-127050000-chr1-127650000-127650000	chr18-86850000-86850000-chr18-87600000-87600000
chr4-112950000-112950000-chr4-112650000-112650000	chrX-130350000-130350000-chrX-131150000-131150000	chrX-116150000-116150000-chrX-117300000-117300000
chr5-38050000-38050000-chr5-39500000-39500000	chr8-127150000-127150000-chr8-126900000-126900000	chr7-24450000-24450000-chr7-24800000-24800000
chr10-63600000-63600000-chr10-64650000-64650000	chr10-31100000-31100000-chr10-32100000-32100000	chr12-98400000-98400000-chr12-99500000-99500000
chr7-100400000-100400000-chr7-98700000-98700000	chr7-51450000-51450000-chr7-50750000-50750000	chr5-29400000-29400000-chr5-28100000-28100000
chr13-9350000-9350000-chr13-10050000-10050000	chr5-8700000-8700000-chr5-10100000-10100000	chr10-112500000-112500000-chr10-113100000-113100000
chr14-23050000-23050000-chr14-23800000-23800000	chr1-159150000-159150000-chr1-158350000-158350000	chr4-39150000-39150000-chr4-39600000-39600000
chr5-20350000-20350000-chr5-19700000-19700000	chr11-58300000-58300000-chr11-57500000-57500000	chr8-63900000-63900000-chr8-62900000-62900000
chr2-150000000-150000000-chr2-152000000-152000000	chr9-84700000-84700000-chr9-83950000-83950000	chr18-51050000-51050000-chr18-51900000-51900000
chr2-166600000-166600000-chr2-165300000-165300000	chr12-33150000-33150000-chr12-33850000-33850000	chr1-146100000-146100000-chr1-149250000-149250000
chr9-109000000-109000000-chr9-109450000-109450000	chr1-62150000-62150000-chr1-61200000-61200000	chrX-121100000-121100000-chrX-122550000-122550000
chr7-102050000-102050000-chr7-100950000-100950000	chr18-39450000-39450000-chr18-41300000-41300000	chr12-74350000-74350000-chr12-73500000-73500000
chr5-100800000-100800000-chr5-100800000-100800000	chr1-139350000-139350000-chr1-137300000-137300000	chr7-107350000-107350000-chr7-103750000-103750000
chr12-89900000-89900000-chr12-90300000-90300000	chr10-12800000-12800000-chr10-12300000-12300000	chr11-42050000-42050000-chr11-39550000-39550000
chr1-85200000-85200000-chr1-86050000-86050000	chr5-122100000-122100000-chr5-121100000-121100000	chr10-24200000-24200000-chr10-23050000-23050000
chr2-68600000-68600000-chr2-68300000-68300000	chr4-102200000-102200000-chr4-103200000-103200000	chrX-155650000-155650000-chrX-150800000-150800000
chr2-128400000-128400000-chr2-127750000-127750000	chr14-101450000-101450000-chr14-102500000-102500000	chr13-42650000-42650000-chr13-44350000-44350000
