GG	GN	NN
chr4-111550000-111550000-chr4-110800000-110800000	chr9-75300000-75300000-chr9-74800000-74800000	chr15-18550000-18550000-chr15-18000000-18000000
chr5-150050000-150050000-chr5-149650000-149650000	chr4-47850000-47850000-chr4-47300000-47300000	chr2-92500000-92500000-chr2-93150000-93150000
chr6-15800000-15800000-chr6-15250000-15250000	chr18-84050000-84050000-chr18-83150000-83150000	chr12-71750000-71750000-chr12-74450000-74450000
chr4-57600000-57600000-chr4-59650000-59650000	chr2-45550000-45550000-chr2-49050000-49050000	chr14-39500000-39500000-chr14-40800000-40800000
chr2-85500000-85500000-chr2-84800000-84800000	chr8-43700000-43700000-chr8-42250000-42250000	chr4-113400000-113400000-chr4-114150000-114150000
chr10-121550000-121550000-chr10-122650000-122650000	chr7-34850000-34850000-chr7-35300000-35300000	chr5-118950000-118950000-chr5-117000000-117000000
chr4-9550000-9550000-chr4-10700000-10700000	chr10-115800000-115800000-chr10-115400000-115400000	chr14-23150000-23150000-chr14-24550000-24550000
chr14-70000000-70000000-chr14-68500000-68500000	chr19-52900000-52900000-chr19-53450000-53450000	chr3-71700000-71700000-chr3-72700000-72700000
chr11-75600000-75600000-chr11-75050000-75050000	chr1-21850000-21850000-chr1-23250000-23250000	chr2-45750000-45750000-chr2-47000000-47000000
chr4-101750000-101750000-chr4-102500000-102500000	chr8-99650000-99650000-chr8-100850000-100850000	chr5-97650000-97650000-chr5-98200000-98200000
chr5-37550000-37550000-chr5-36200000-36200000	chr3-117200000-117200000-chr3-119300000-119300000	chr11-25450000-25450000-chr11-20850000-20850000
chr5-19700000-19700000-chr5-20400000-20400000	chr4-8950000-8950000-chr4-10100000-10100000	chr13-5150000-5150000-chr13-4950000-4950000
chr1-156400000-156400000-chr1-155100000-155100000	chrX-59200000-59200000-chrX-58050000-58050000	chr10-24850000-24850000-chr10-25700000-25700000
chr2-114650000-114650000-chr2-115750000-115750000	chr4-116800000-116800000-chr4-118700000-118700000	chr1-137250000-137250000-chr1-136550000-136550000
chr15-91300000-91300000-chr15-88600000-88600000	chr1-107050000-107050000-chr1-106150000-106150000	chr3-79950000-79950000-chr3-80250000-80250000
chr18-34550000-34550000-chr18-33200000-33200000	chr19-59850000-59850000-chr19-59450000-59450000	chrX-137100000-137100000-chrX-139050000-139050000
chr2-120300000-120300000-chr2-119750000-119750000	chr18-31250000-31250000-chr18-29200000-29200000	chr4-9950000-9950000-chr4-9250000-9250000
chr10-76800000-76800000-chr10-75750000-75750000	chr13-33500000-33500000-chr13-32850000-32850000	chr3-14300000-14300000-chr3-12500000-12500000
chr13-17500000-17500000-chr13-15800000-15800000	chr10-57600000-57600000-chr10-58450000-58450000	chr2-148600000-148600000-chr2-149800000-149800000
chr1-132600000-132600000-chr1-133750000-133750000	chr11-72100000-72100000-chr11-71450000-71450000	chr5-52350000-52350000-chr5-51050000-51050000
chr5-103800000-103800000-chr5-105050000-105050000	chr16-43200000-43200000-chr16-44700000-44700000	chr4-131450000-131450000-chr4-132800000-132800000
chr6-85350000-85350000-chr6-83750000-83750000	chr16-49000000-49000000-chr16-47300000-47300000	chrX-119150000-119150000-chrX-119850000-119850000
chr4-63400000-63400000-chr4-62500000-62500000	chr16-50250000-50250000-chr16-51000000-51000000	chr4-50750000-50750000-chr4-52750000-52750000
chr8-106600000-106600000-chr8-105050000-105050000	chr1-12550000-12550000-chr1-13650000-13650000	chr5-12750000-12750000-chr5-12000000-12000000
chr1-167750000-167750000-chr1-168250000-168250000	chr11-45500000-45500000-chr11-43150000-43150000	chr2-9600000-9600000-chr2-10700000-10700000
chr12-75950000-75950000-chr12-76900000-76900000	chr8-15550000-15550000-chr8-16050000-16050000	chr13-6700000-6700000-chr13-5250000-5250000
chr10-31850000-31850000-chr10-33250000-33250000	chr2-67250000-67250000-chr2-65650000-65650000	chr7-54350000-54350000-chr7-55350000-55350000
chr4-149250000-149250000-chr4-150450000-150450000	chrX-10000000-10000000-chrX-11000000-11000000	chrY-52900000-52900000-chrY-49650000-49650000
chr17-68450000-68450000-chr17-67900000-67900000	chr9-36200000-36200000-chr9-37650000-37650000	chr18-63600000-63600000-chr18-62300000-62300000
chr2-144500000-144500000-chr2-142150000-142150000	chr7-118850000-118850000-chr7-117800000-117800000	chr6-67900000-67900000-chr6-68450000-68450000
chr13-91800000-91800000-chr13-92250000-92250000	chr10-73500000-73500000-chr10-75100000-75100000	chr11-15500000-15500000-chr11-16400000-16400000
chr18-23750000-23750000-chr18-25000000-25000000	chr16-5200000-5200000-chr16-4450000-4450000	chrY-41500000-41500000-chrY-40600000-40600000
chr19-23800000-23800000-chr19-24700000-24700000	chr3-154350000-154350000-chr3-153250000-153250000	chrY-87800000-87800000-chrY-89650000-89650000
chr13-104350000-104350000-chr13-103250000-103250000	chr15-90250000-90250000-chr15-89400000-89400000	chr5-78850000-78850000-chr5-77950000-77950000
chr9-117150000-117150000-chr9-119150000-119150000	chr9-85550000-85550000-chr9-84000000-84000000	chr3-26550000-26550000-chr3-24950000-24950000
chr7-76950000-76950000-chr7-76600000-76600000	chr13-46300000-46300000-chr13-47850000-47850000	chr17-39550000-39550000-chr17-39400000-39400000
chr11-64050000-64050000-chr11-62150000-62150000	chr9-39650000-39650000-chr9-37650000-37650000	chr12-112550000-112550000-chr12-111150000-111150000
chr5-87850000-87850000-chr5-88300000-88300000	chr8-111550000-111550000-chr8-112350000-112350000	chr12-17850000-17850000-chr12-19200000-19200000
chrX-96400000-96400000-chrX-95900000-95900000	chr4-153000000-153000000-chr4-151550000-151550000	chrX-15450000-15450000-chrX-16450000-16450000
chr4-102850000-102850000-chr4-101550000-101550000	chr1-191350000-191350000-chr1-190450000-190450000	chrY-62300000-62300000-chrY-62550000-62550000
chr7-131350000-131350000-chr7-129600000-129600000	chr2-106150000-106150000-chr2-105300000-105300000	chr4-97250000-97250000-chr4-99650000-99650000
chr11-69050000-69050000-chr11-69550000-69550000	chr14-61000000-61000000-chr14-60350000-60350000	chrY-60900000-60900000-chrY-61450000-61450000
chr16-27900000-27900000-chr16-29500000-29500000	chr1-143800000-143800000-chr1-142000000-142000000	chr11-56000000-56000000-chr11-56950000-56950000
chrX-50600000-50600000-chrX-48500000-48500000	chr11-53400000-53400000-chr11-52750000-52750000	chr14-66500000-66500000-chr14-68050000-68050000
chr11-72400000-72400000-chr11-73100000-73100000	chr5-8700000-8700000-chr5-9000000-9000000	chr6-70950000-70950000-chr6-70100000-70100000
chr1-87300000-87300000-chr1-85700000-85700000	chr4-153050000-153050000-chr4-151650000-151650000	chr9-15400000-15400000-chr9-16450000-16450000
chr12-90050000-90050000-chr12-91000000-91000000	chr14-68500000-68500000-chr14-69150000-69150000	chr9-52300000-52300000-chr9-51450000-51450000
